slug,live_form_id,headless_form_id,source_url,single_line_address,map_search_url
"alabama",31,31,"https://amerilife.com/alabama/","3800 Colonnade Parkway, Suite 540, Birmingham, AL 35243","https://www.google.com/maps/search/?api=1&query=3800%20Colonnade%20Parkway%2C%20Suite%20540%2C%20Birmingham%2C%20AL%2035243"
"arizona",31,31,"https://amerilife.com/arizona/","4515 S McClintock Dr. Suite 116, Tempe, AZ 85281","https://www.google.com/maps/search/?api=1&query=4515%20S%20McClintock%20Dr.%20Suite%20116%2C%20Tempe%2C%20AZ%2085281"
"asheville",31,31,"https://amerilife.com/asheville/","2367 Hendersonville Road, Arden, NC 28704","https://www.google.com/maps/search/?api=1&query=2367%20Hendersonville%20Road%2C%20Arden%2C%20NC%2028704"
"atlanta",31,31,"https://amerilife.com/atlanta/","Hightower Center 8300 Dunwoody Place, Suite 150, Sandy Springs, GA 30350","https://www.google.com/maps/search/?api=1&query=Hightower%20Center%208300%20Dunwoody%20Place%2C%20Suite%20150%2C%20Sandy%20Springs%2C%20GA%2030350"
"brevard",31,31,"https://amerilife.com/brevard/","3945 W Eau Gallie Blvd, Suite 108, Melbourne, FL 32934","https://www.google.com/maps/search/?api=1&query=3945%20W%20Eau%20Gallie%20Blvd%2C%20Suite%20108%2C%20Melbourne%2C%20FL%2032934"
"california",31,31,"https://amerilife.com/california/","380 S. Melrose Dr., Suite 306, Vista, CA 92081","https://www.google.com/maps/search/?api=1&query=380%20S.%20Melrose%20Dr.%2C%20Suite%20306%2C%20Vista%2C%20CA%2092081"
"cary",31,31,"https://amerilife.com/cary/","2051 Renaissance Park Place, Suite 209, Cary, NC 27513","https://www.google.com/maps/search/?api=1&query=2051%20Renaissance%20Park%20Place%2C%20Suite%20209%2C%20Cary%2C%20NC%2027513"
"charleston",31,31,"https://amerilife.com/charleston/","4975 Lacross Road, North Charleston, SC 29406","https://www.google.com/maps/search/?api=1&query=4975%20Lacross%20Road%2C%20North%20Charleston%2C%20SC%2029406"
"charlotte",31,31,"https://amerilife.com/charlotte/","1988 Kings Hwy, Port Charlotte, FL 33980","https://www.google.com/maps/search/?api=1&query=1988%20Kings%20Hwy%2C%20Port%20Charlotte%2C%20FL%2033980"
"citrus",31,31,"https://amerilife.com/citrus/","217 E Highland Blvd., Inverness, FL 34452","https://www.google.com/maps/search/?api=1&query=217%20E%20Highland%20Blvd.%2C%20Inverness%2C%20FL%2034452"
"clearwater",31,31,"https://amerilife.com/clearwater/","2650 McCormick Drive, Clearwater, FL 33759","https://www.google.com/maps/search/?api=1&query=2650%20McCormick%20Drive%2C%20Clearwater%2C%20FL%2033759"
"dallas",31,31,"https://amerilife.com/dallas/","1333 Corporate Dr, Suite 310, Irving, TX 75038","https://www.google.com/maps/search/?api=1&query=1333%20Corporate%20Dr%2C%20Suite%20310%2C%20Irving%2C%20TX%2075038"
